tarih,saat,lig,mbs,ev,deplasman,iy sonuc,ms sonuc,ms1,msx,ms2,iy1,iyx,iy2,kgvar,kgyok,ciftsans1/x,cs1/2,csx/2,iy1.5a,iy1.5u,1.5a,1.5u,2.5a,2.5u,3.5a,3.5u,toplamgol0-1,tg2-3,tg4-5,tg6+
2024-10-24 00:00:00,19:45:00,AVKL,1,Larne Fc,Shamrock Rovers,0 - 3,1 - 4,3.33,2.6,1.98,4.13,1.73,2.71,1.95,1.48,1.29,1.15,1.07,1.12,3.35,2.22,1.35,1.31,2.33,1.06,4.46,2.22,1.8,5.59,34.5
2024-10-24 00:00:00,05:30:00,ABD,2,Vancouver,Portland,3 - 0,5 - 0,2.74,3.27,1.8,3.17,2.11,2.29,1.31,2.16,1.3,1.05,1.08,1.38,2.01,4.21,1.05,2.07,1.35,1.36,2.04,4.72,1.92,2.84,7.87
2024-10-25 00:00:00,21:30:00,HAZ,2,İngiltere (K),Almanya (K),2 - 3,3 - 4,1.58,3.13,3.63,0.0,0.0,0.0,1.52,1.76,1.08,1.05,1.42,0.0,0.0,3.24,1.09,1.7,1.57,1.19,2.6,3.49,1.8,3.42,12.85
2024-10-25 00:00:00,19:30:00,AL2,2,Nürnberg,Regensburg,3 - 2,8 - 3,1.44,3.59,4.59,1.95,2.14,4.81,1.58,1.78,1.05,1.05,1.62,1.33,2.29,3.6,1.09,1.85,1.54,1.27,2.47,3.8,1.83,3.22,11.05
2024-10-25 00:00:00,03:30:00,BR2,3,Sport Recife,Guarani,3 - 0,4 - 0,1.4,3.01,5.52,2.0,1.78,6.07,2.15,1.31,0.0,0.0,1.57,0.0,0.0,2.23,1.29,1.31,2.15,1.05,4.1,2.31,1.78,5.27,33.0
2024-10-25 00:00:00,21:00:00,HOL2,3,Volendam,Fc Eindhoven,3 - 1,4 - 1,1.3,4.07,4.77,1.72,2.32,4.67,1.38,2.02,0.0,0.0,1.7,1.46,1.85,4.83,0.0,2.33,1.25,1.47,1.83,5.57,2.02,2.64,6.29
2024-10-26 00:00:00,18:30:00,BAE,3,Al Jazira,Khorfakkan Club,3 - 1,4 - 2,1.27,4.34,4.84,1.66,2.47,4.59,1.29,2.23,0.0,0.0,1.74,1.57,1.69,0.0,0.0,2.74,1.16,1.66,1.61,7.09,2.2,2.45,4.77
2024-10-26 00:00:00,17:00:00,İNFAT,3,Bishops Stortf,Felixstowe & Wa,0 - 3,1 - 6,2.37,3.3,2.0,0.0,0.0,0.0,1.28,2.27,1.23,0.0,1.14,0.0,0.0,4.42,0.0,2.15,1.31,1.4,1.96,5.0,1.95,2.76,7.27
2024-10-26 00:00:00,17:00:00,İNFAT,3,Brentwood Town,Cray Valley Pm,3 - 3,4 - 3,2.82,3.17,1.8,0.0,0.0,0.0,1.34,2.08,1.31,0.0,1.07,0.0,0.0,3.97,0.0,1.96,1.39,1.31,2.15,4.4,1.88,2.94,8.75
2024-10-26 00:00:00,17:00:00,İCON,3,Buxton,Needham Market,6 - 1,7 - 1,1.59,3.11,3.6,2.2,1.89,4.19,1.65,1.62,0.0,1.05,1.41,0.0,0.0,2.82,1.15,1.54,1.74,1.12,3.03,2.98,1.77,3.92,17.6
2024-10-26 00:00:00,18:15:00,İTB,2,Carrarese,Cittadella,3 - 0,3 - 0,2.08,2.75,2.88,2.78,1.81,3.6,1.74,1.62,1.11,1.12,1.25,1.17,2.97,2.53,1.25,1.43,2.03,1.09,3.69,2.56,1.77,4.6,24.85
2024-10-26 00:00:00,17:00:00,İCON,3,Curzon Ashton,Chester,3 - 0,4 - 0,2.3,2.8,2.3,3.06,1.75,3.06,1.71,1.56,1.15,1.08,1.15,0.0,0.0,2.43,1.23,1.39,1.97,1.06,3.64,2.53,1.77,4.67,25.5
2024-10-26 00:00:00,17:00:00,İNFAT,3,Gloucester Cit,Coleshill Town,0 - 3,2 - 3,1.27,3.86,5.5,0.0,0.0,0.0,1.64,1.63,0.0,0.0,1.73,0.0,0.0,3.51,1.06,1.81,1.49,1.24,2.4,3.82,1.83,3.21,11.0
